partID_given,partID,dyadID,gender_baseline,Progress,Duration,RecordedDate,DistributionChannel,day,gender,gender_6_TEXT,gate1,gate2,gate3,gate4,gate5,gate6,beds,vaccum,food,dishes,garbage,yardwork,pets,laundry,errands,cars,finances,events,calls,other_chores,fair_chores,satisfied_chores,homeschool,attention,worrying,activities,clothes,sick,getting_up,put_to_bed,discipline,reading,playing,picking_up,hygiene,dressing,comforting,feeding,other_childcare,fair_childcare,satisfied_childcare,wfibs1,wfibs2,wfibs3,covid_pres1,covid_pres2,covid_pres3,covid_pres4,covid_pres5,covid_pres6,qmi1,qmi2,qmi3,qmi4,comm1,comm2,comm3,comm4,comments
,R_1QAbWeDxIaGB0nm,377033,,100,842,9/28/20 20:30,email,Monday,Woman,,Somewhat disagree,Somewhat agree,Somewhat disagree,,,,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,no,Fair to both you and your partner,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat true about me,Somewhat true about me,A little true about me,Somewhat true about me,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,no
,R_1QAbWeDxIaGB0nm,377033,Woman,100,214,9/29/20 21:57,email,Tuesday,Woman,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,no,Pretty much fair to me,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat true about me,Somewhat true about me,A little true about me,Somewhat true about me,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,no
,R_1QAbWeDxIaGB0nm,377033,Woman,100,706,9/30/20 21:48,email,Wednesday,Woman,,Strongly agree,Somewhat disagree,Somewhat agree,,,,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,no,Slightly unfair to you,Somewhat dissatisfied,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat true about me,Somewhat true about me,Somewhat true about me,Somewhat true about me,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,no
,R_1QAbWeDxIaGB0nm,377033,Woman,100,571,10/1/20 18:48,email,Thursday,Woman,,Neither agree nor disagree,Strongly disagree,Somewhat disagree,,,,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,grocery shopped  online,Fair to both you and your partner,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat true about me,Somewhat true about me,A little true about me,Somewhat true about me,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,no
,R_1QAbWeDxIaGB0nm,377033,Woman,100,414,10/2/20 20:59,email,Friday,Woman,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,,,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,online household shopping,Slightly unfair to you,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat true about me,Somewhat true about me,A little true about me,Somewhat true about me,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,no
,R_1QAbWeDxIaGB0nm,377033,Woman,100,260,10/3/20 19:08,email,Saturday,Woman,,Somewhat agree,Somewhat agree,Strongly agree,,,,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,no,Very unfair to you,Very dissatisfied,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,A little true about me,Somewhat true about me,A little true about me,Not true about me,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,no
,R_1QAbWeDxIaGB0nm,377033,Woman,100,526,10/4/20 19:04,email,Sunday,Woman,,Somewhat agree,Somewhat agree,Somewhat agree,,,,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,I failed to mention that I occasionally help an elderly parent who lives next door. I spent about an hour today and 4-5  hours over the past week helping them,Slightly unfair to you,Somewhat dissatisfied,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,A little true about me,Somewhat true about me,A little true about me,A little true about me,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,no
,R_1QAbWeDxIaGB0nm,377033,Woman,100,695,10/5/20 20:28,email,Monday,Woman,,Neither agree nor disagree,Strongly disagree,Somewhat disagree,,,,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,no,Fair to both you and your partner,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat true about me,Somewhat true about me,A little true about me,A little true about me,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,no
,R_1QAbWeDxIaGB0nm,377033,Woman,100,444,10/6/20 19:23,email,Tuesday,Woman,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,no,Fair to both you and your partner,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,A little true about me,A little true about me,A little true about me,Somewhat true about me,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,no
,R_1QAbWeDxIaGB0nm,377033,Woman,100,835,10/7/20 19:59,email,Wednesday,Woman,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,no,Fair to both you and your partner,Somewhat satisfied,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat true about me,Somewhat true about me,A little true about me,Somewhat true about me,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,no
